city_slug,date,outlet,headline,url,kind
denver,2026-09-18,Rocky Mountain Voice,"Sex and Gender Data Limits Clear Denver Committee 5-0, Heads to Full Council",https://rockymountainvoice.com/2026/09/18/sex-and-gender-data-limits-clear-denver-committee-5-0-heads-to-full-council/,legal
denver,2026-05-18,Denver Gazette,"Children's Colorado must resume care to transgender plaintiffs, state Supreme Court rules by 5-2",https://www.denvergazette.com/2026/05/18/childrens-colorado-must-resume-care-to-transgender-plaintiffs-state-supreme-court-rules-by-5-2/,legal
denver,2026-03-31,Denver Gazette,Supreme Court rules rejects Colorado's ban on 'conversion therapy' for children,https://www.denvergazette.com/2026/03/31/supreme-court-rules-rejects-colorados-ban-on-conversion-therapy-for-children/,legal
denver,2026-03-31,Colorado Sun,"US Supreme Court strikes down Colorado law banning conversion therapy for gay, transgender minors",https://coloradosun.com/2026/03/31/conversion-therapy-supreme-court-ruling/,legal
denver,2026-06-04,Colorado Sun,What to do in Colorado this week: Pride parades and doggy drag shows in Denver and beyond,https://coloradosun.com/2026/06/04/what-to-do-in-colorado-pride-parade-denver/,pride
phoenix,2026-06-01,azfamily.com,Phoenix Pride enters Chapter 11 as attorney explains what comes next,https://www.azfamily.com/2026/06/02/phoenix-pride-enters-chapter-11-attorney-explains-what-comes-next/,pride
tucson,2026-01-21,KOLD News 13,"Tucson Pride Festival cancelled, organization to dissolve",https://www.kold.com/2026/01/21/tucson-pride-festival-cancelled-organization-dissolve/,pride
tucson,2026-01-22,Tucson Spotlight,Tucson Pride Disbands After Nearly 50 Years,https://www.tucsonspotlight.org/tucson-pride-disbands-after-nearly-50-years/,pride
tucson,2026-01-27,Metro Weekly,"Tucson Pride Cancels 2026 Festival, Dissolves Board",https://www.metroweekly.com/2026/01/tucson-pride-cancels-2026-festival,pride
tucson,2026-09-15,LOOKOUT,A Tucson Pride Festival Could Reemerge. But Does Anyone Want It?,https://www.lookoutnews.org/a-tucson-pride-festival-could-reemerge-but-does-anyone-want-it/,community
albuquerque,2026-06-08,The Paper. (abq.news),Pride weekend emphasizes “unity” for Albuquerque,https://abq.news/2026/06/pridefest-pride-parade-pride-weekend/,pride
albuquerque,2026-06-10,The Paper. (abq.news),Pride Profiles: ORCA is creating community and connection for LGBTQ+ seniors,https://abq.news/2026/06/pride-profile-orca/,community
austin,2026-04-30,CBS Austin,Austin Pride sets 2026 theme as 'Viva la Resistencia' for Aug. 22 celebration,https://cbsaustin.com/news/local/austin-pride-sets-2026-theme-as-viva-la-resistencia-for-aug-22-celebration,pride
austin,2026-06-01,KXAN Austin (via Yahoo News),"Queerbomb, Austin's anti-corporate LGBTQ+ Pride event, returns June 7",https://www.yahoo.com/news/us/articles/queerbomb-austin-anti-corporate-lgbtq-132541688.html,pride
austin,2025-11-19,AustinTexas.gov (City of Austin),City of Austin Earns Top Score on 2025 Municipal Equality Index,https://www.austintexas.gov/news/city-austin-earns-top-score-2025-municipal-equality-index,legal
eureka-springs,2026-01-25,The Gayly,Out in Eureka's 2026 Diversity Weekend dates,https://www.gayly.com/out-eurekas-2026-diversity-weekend-dates,community
saugatuck,2026-06-03,Wilcox Newspapers,"Baty, Matteson named Persons of the Year",https://wilcoxnewspapers.com/baty-matteson-named-persons-of-the-year/,community
saugatuck,2025-10-01,Wilcox Newspapers,Douglas Oktoberfest on tap Oct. 11,https://wilcoxnewspapers.com/douglas-oktoberfest-on-tap-oct-11/,community
new-hope,2026-09-17,New Hope Celebrates,Delaware River Towns Step OUT for LGBTQ+ History Month,https://www.newhopecelebrates.com/delaware-river-towns-step-out-for-lgbtq-history-month/,community
new-hope,2026-07-08,New Hope Celebrates,New Executive Leadership Team Announced at New Hope Celebrates,https://www.newhopecelebrates.com/new-executive-leadership-team-announced-at-new-hope-celebrates/,community
new-hope,2026-07-04,New Hope Celebrates,New Hope Celebrates Unveils Landmark Progress Pride Street Art Installation on West Mechanic Street,https://www.newhopecelebrates.com/new-hope-celebrates-to-unveil-progress-pride-street-art-installation/,pride
phoenix,2026-05-30,azfamily.com,Phoenix Pride says it is fighting for its future with bankruptcy filing,https://www.azfamily.com/2026/05/30/phoenix-pride-says-it-is-fighting-its-future-with-bankruptcy-filing/,pride
